	position in rank using contigs	position in rank with raw reads	counts - contigs	counts - raw reads
TPIA	96	45	42327	47285
HCP	97	134	41434	19564
PHBA	98	44	41319	47942
BCD	99	55	40775	41381
FADD	100	521	40648	3602
BL01661	101	8686	39914	0
RNR	102	177	39782	14373
FLGL	103	1889	39393	299
ACA4	104	129	38701	20033
HYL	105	203	38641	12112
ACNA	106	94	38433	26303
YCIF	107	2772	38288	121
NRDD	108	79	38229	29312
KATN	109	50	37986	43243
SP_1683	110	118	37373	21183
GPMI	111	62	37340	35650
BGLB	112	117	37302	21227
TIG	113	302	37194	7577
TSF	114	194	36581	12782
RPLL	115	97	36195	25880
RPLJ	116	295	35498	7717
RNFC	117	108	35381	22586
RPSD	118	69	35134	33140
PFK	119	67	35076	34187
HFLC	120	83	35047	28888
SECA	121	72	34983	31873
RPLQ	122	112	34239	22277
PFKA	123	81	34149	29143
GLSA	124	586	34072	2920
YPLQ	125	137	33779	19294
FKPB	126	736	33745	2005
MYCA	127	61	33538	35853
DEOC	128	462	33212	4185
ACSC	129	181	33087	13906
GLTA	130	73	33068	31110
RPST	131	475	32772	4065
DER	132	116	32187	21431
MECA	133	227	31981	10898
RUBY	134	131	31897	19797
GUAB	135	59	31812	36435
PUNA	136	190	31662	13345
GADB	137	101	31641	25085
PNP	138	80	31360	29262
FLAB	139	13	31245	159416
FLIK	140	5230	31160	29
PEPD	141	411	30966	5048
CDHC	142	104	30548	24135
HBD	143	93	30517	26431
PYCB	144	64	30191	35496
FLGD	145	1669	30099	401
OPPA	146	125	29892	20200
COOS	147	85	29769	28334
FLAG	148	496	29651	3875
ETFB	149	70	28775	32910
CHEV	150	262	28715	9046
FER	151	145	28704	18136
BT0174	152	40	28447	50573
LIAG	153	8686	28381	0
AGCS	154	448	28348	4349
ASDA	155	608	28064	2726
UDP	156	356	27564	6049
PFL	157	71	27285	32724
YXCA	158	102	27128	24971
BT_1821	159	340	26819	6679
FLOL	160	366	26778	5937
UREB	161	261	26595	9083
LIVK	162	267	26330	8740
RPLB	163	58	26114	36443
RPSO	164	150	25749	17701
NUSG	165	206	25674	11907
UVRA	166	126	25453	20175
FLIF	167	1758	25407	351
GLPF	168	388	25396	5488
PYK	169	355	25237	6094
NAGE	170	143	25092	18350
ACKA	171	149	24996	17833
MGLA	172	138	24768	19182
YLBN	173	618	24643	2637
MAEB	174	207	24613	11906
RPSL	175	89	24599	27494
ILVC	176	52	24533	42672
LEUS	177	98	24318	25623
AHPF	178	657	24080	2416
ISIB	179	7989	24062	9
RPSG	180	76	23864	30200
RPLS	181	107	23822	23236
INFB	182	144	23778	18142
RBSB	183	857	23684	1529
NTPI	184	427	23417	4803
RPSB	185	84	23093	28884
PBP1A	186	482	23081	4028
CHER	187	332	23007	6867
ATPB	188	233	22935	10693
RPLE	189	86	22770	27774
GLPA	190	338	22637	6700
AMYE	191	400	22567	5250
MOXR	192	164	22526	15735
YERB	193	443	22457	4467
LYSS	194	91	22440	26782
MUTB	195	127	22371	20172
FTSI	196	571	22265	3066
DXS	197	171	22192	15073
PURD	198	142	22183	18633
ALAS	199	162	22180	16426
RPMA	200	68	22155	34182
FLIY	201	391	21787	5455
MALQ	202	258	21748	9384
YBHL	203	2361	21728	177
RPLK	204	99	21727	25410
RFBB	205	96	21711	25988
GYRA	206	170	21588	15248
MUTA	207	648	21560	2447
BGAA	208	210	21474	11673
EFP	209	103	21457	24833
FTSZ	210	205	21425	11953
GCDB	211	109	21397	22356
TRXB	212	220	21340	11250
ALR	213	1235	21179	762
METK	214	114	21097	21864
OCAR_7318	215	235	21067	10660
ACSD	216	415	20723	4996
SSB	217	179	20631	14043
ASPT	218	778	20626	1828
THIJ	219	1039	20554	1015
SECD	220	520	20444	3608
RPSC	221	82	20431	29047
GLTD	222	163	20190	16114
RPSF	223	252	20003	9697
SWRC	224	1415	19958	579
TKT	225	122	19922	20646
RPSU	226	74	19910	30794
NAGB	227	199	19759	12434
CARB	228	100	19745	25204
MCP-1	229	6027	19472	21
TOPA	230	237	19458	10624
RPLT	231	106	19290	23968
APPA	232	577	19182	3027
CLOCL_3187	233	674	19144	2304
SRTB	234	1256	19135	738
THIL	235	291	19131	7801
RPLC	236	146	19126	17943
ATPG	237	519	18989	3638
ILVE	238	140	18979	18931
GALE	239	110	18921	22334
RPSP	240	165	18913	15550
ASNS	241	111	18866	22290
RPLM	242	130	18828	19817
FLIS	243	716	18782	2072
DEAD	244	551	18779	3282
NOCA_1024	245	248	18728	9985
GLYQS	246	77	18537	29831
FABF	247	213	18486	11506
HUPB	248	201	18449	12275
METG	249	121	18414	20775
SSNG_03091	250	8686	18266	0
ASPS	251	160	18227	16524
RPSR	252	119	18087	21107
CHEB	253	659	18016	2406
GLTX	254	168	17924	15416
GLPB	255	8686	17660	0
SSQG_02712	256	8590	17632	5
RPOS	257	172	17496	14824
CRT	258	139	17421	19020
NAGA	259	319	17381	7176
RPSI	260	87	17349	27757
PTSH	261	173	17318	14616
ADK	262	299	17271	7656
YLOV	263	282	17250	8127
MURA	264	270	17246	8658
CTPA	265	1140	17158	872
PNCB	266	236	17119	10626
RPSM	267	158	17117	17106
GLNA	268	216	17108	11400
OADA	269	313	17093	7264
RPLF	270	115	17060	21502
SP_0498	271	1054	17051	985
PRS	272	188	17039	13578
POR	273	872	16975	1486
ADH	274	132	16894	19689
GLPC	275	404	16680	5106
MBL	276	123	16658	20633
CSAC_1405	277	1183	16657	823
RPLU	278	217	16637	11314
METF	279	147	16592	17848
ILES	280	148	16564	17846
GLMS	281	314	16552	7259
MGLC	282	290	16289	7821
METY	283	124	16167	20259
SUFB	284	175	15996	14422
AMET_1535	285	8686	15933	0
PULA	286	446	15927	4400
LON	287	272	15911	8584
RPLO	288	186	15905	13765
NTPB	289	92	15815	26508
YSH1	290	308	15744	7357
HUP	291	429	15733	4795
SERA	292	316	15720	7250
ILVB	293	254	15717	9596
USTA	294	510	15658	3725
BCP	295	764	15654	1889
PTSI	296	257	15631	9453
RPSK	297	133	15595	19597
RUMAL_1137	298	538	15589	3396
RPSE	299	128	15563	20124
HSDR	300	247	15526	10056
FLIW	301	1484	15389	526
THRS	302	141	15374	18920
FKPA	303	317	15370	7239
RPSH	304	156	15356	17246
UDK	305	435	15291	4674
RHO	306	297	15229	7664
GALM	307	932	15170	1291
VANW	308	845	15129	1561
SERS	309	161	15092	16470
RECO	310	1853	15019	313
XERD	311	401	14984	5224
RPRX	312	607	14929	2737
ATPE	313	472	14926	4114
ARGG	314	105	14902	24114
ATPF	315	1177	14885	826
FTSA	316	834	14863	1602
RPLD	317	249	14861	9876
GLNS	318	151	14850	17564
FLIM	319	626	14811	2589
MSCS	320	1555	14750	478
LIGA	321	456	14670	4206
ARAB	322	241	14423	10339
UREA	323	537	14372	3431
APEA	324	329	14279	6920
GUAA	325	155	14207	17279
YEIH	326	620	14142	2625
GLMM	327	303	13981	7456
RSGI	328	8686	13977	0
TCSA	329	383	13926	5598
SPEA	329	393	13926	5432
ALGI	331	405	13903	5103
VALS	332	166	13853	15543
SP_0742	333	732	13806	2022
ASNB2	334	8686	13734	0
FOLD	335	304	13683	7443
TRXA	336	351	13674	6256
ANSB	337	405	13588	5103
YIDC	338	909	13585	1360
SPOVG	339	246	13561	10064
CLPP	340	176	13476	14381
PRFB	341	183	13420	13855
SUFD	342	1432	13404	567
GYRB	343	182	13383	13881
PTA	344	260	13329	9272
LMXF	345	3268	13302	82
MAP	346	263	13201	9014
RPME	347	135	13187	19542
AGAD	348	153	13173	17515
TYPA	349	152	13135	17550
APU	350	488	13101	3938
FLIG	351	298	13098	7659
PEPO	352	772	13068	1850
SERC	353	183	13052	13855
SUFC	354	234	13039	10681
FLGF	355	1331	12951	653
YUXH	356	1550	12933	482
ARGS	357	259	12725	9322
RECJ	358	536	12666	3441
MUTS2	359	399	12642	5329
RECA	360	192	12638	13176
MALE	361	649	12599	2442
PROS	362	167	12588	15443
CYSS	363	239	12568	10544
AMYA	364	430	12556	4783
FLHA	365	306	12535	7374
ACPP	366	369	12519	5859
PCKG	367	174	12506	14430
YCEG	368	816	12436	1663
ATPH	369	1345	12366	640
RPOE	370	642	12328	2512
YTFL	371	1737	12291	364
LEPA	372	159	12241	16774
SLYD	373	1853	12222	313
GDH	374	189	12213	13521
ARAN	375	350	12138	6284
MOTA	376	906	12070	1370
DNAN	377	543	12050	3341
LYS1	378	214	12030	11497
GLK	379	564	11923	3133
NFED	380	1402	11911	588
PURF	381	256	11864	9494
YTFQ	382	280	11852	8169
FRR	383	293	11847	7780
PFLA	384	477	11794	4050
FLII	385	250	11671	9831
MOTB	386	1272	11604	721
ARAA	387	200	11548	12317
DNAB	388	374	11538	5719
EXBB	389	1455	11535	548
YKGB	390	687	11493	2215
THRC	391	311	11396	7305
LHV_0211	392	8686	11378	0
SUFS	393	637	11337	2529
NDH	394	2639	11271	134
SCRK	395	455	11265	4207
OBG	396	274	11247	8561
DNAX	397	347	11238	6540
FFH	398	268	11195	8724
RELA	399	244	11184	10226
FKLB	400	1087	11131	937
DBPA	401	5481	11086	26
CYSK	402	276	11083	8322
PYRG	403	196	11068	12603
XYLB	404	225	11061	10989
HFLX	405	381	11054	5603
UREE	406	685	11032	2221
FTSK	407	463	11030	4184
SP_1654	408	1753	10990	353
ACSF	409	616	10954	2642
BATA	410	1864	10948	309
VORB	411	288	10906	7864
POLA	412	441	10896	4563
DEGV	413	639	10876	2526
TEX	414	341	10835	6647
CHVE	415	480	10828	4029
BATD	416	1698	10824	387
ASNB	417	370	10812	5791
GLGX	418	279	10800	8193
PRKC	419	534	10683	3449
URED	420	1094	10682	924
ARCC	421	346	10668	6545
DNAE	422	283	10639	8118
ARGF	423	224	10622	10997
PCAR_0076	424	193	10613	12924
TYRS	424	320	10613	7173
ENC_23250	426	1146	10509	865
DACET_0688	427	902	10507	1383
ISCS	428	391	10435	5455
CLCAR_1504	429	1450	10410	554
FOPA	430	8686	10388	0
GRDA	431	187	10349	13750
NTPC	432	758	10259	1923
ASLB4	433	8686	10248	0
HYDA	434	228	10204	10892
LEXA	435	341	10199	6647
BUK	436	365	10171	5965
TNPX	437	328	10160	6947
RNJA	438	242	10133	10286
GLYA	439	215	10093	11409
RPLN	440	136	10072	19301
RPLP	441	113	10044	22017
ASPC	442	524	10021	3553
NHAC	443	473	10000	4085
GLNN	444	231	9983	10846
GREA	445	403	9965	5123
IORA	446	436	9914	4656
CLPE	447	318	9902	7223
PRFC	448	204	9825	12042
CMK7	449	226	9822	10943
GLDG	450	2849	9816	113
FUR	451	2147	9809	221
RPE	452	616	9804	2642
RPLR	453	253	9775	9637
BGLX	454	566	9753	3126
DAPA	455	442	9707	4484
GALK	456	323	9706	7083
NFRA	457	2424	9705	166
FTSE	458	454	9661	4248
CBPA	459	349	9607	6301
DSPB	460	1545	9569	484
TRPB	461	209	9541	11780
MEXF	462	801	9536	1734
FUMB	463	264	9532	8904
NADE	464	423	9529	4871
ACSA	465	384	9509	5596
FPRA	466	265	9506	8888
EXBD	467	2280	9502	194
FUCI	468	178	9481	14250
INFC	468	271	9481	8654
TERD	470	212	9456	11641
ACDA	471	223	9451	11120
BDHA	472	1421	9449	575
PURB	473	208	9419	11816
KUP	474	912	9417	1346
BL01967	475	943	9362	1255
FOLB	476	8686	9345	0
CRCB	477	3509	9334	69
PRIA	478	819	9328	1661
ASD	479	202	9320	12118
PURC	480	195	9316	12606
RBFA	481	954	9302	1225
GLTB	482	266	9287	8828
AGAC	483	281	9270	8156
BAPKO_0207	484	680	9268	2262
DNAD	485	1372	9214	613
DDH	486	339	9209	6683
PTCC	487	603	9207	2762
FLGB	488	2058	9199	245
NUSA	489	362	9171	5996
PURA	490	243	9156	10245
MGSA	490	287	9156	7913
DCUB	492	479	9142	4033
YWAC	493	312	9117	7282
PRC	494	1657	9101	410
PYRH	495	331	9091	6898
DNAA	496	464	9074	4172
COBW	497	409	9067	5063
DDL	498	729	9057	2030
RPMI	499	292	9050	7797
RFBA	500	269	9040	8681
CAT	501	230	9030	10885
OA238_1743	502	1061	8995	972
FCOL_03560	503	4249	8988	45
AQPZ	504	1481	8952	532
YAJC	505	830	8941	1620
AM1_3863	506	8686	8837	0
HRM2_08390	507	888	8811	1422
TELA	508	527	8803	3529
TRPS	509	296	8783	7684
BATB	510	1518	8771	503
RC1_2786	511	1224	8770	771
FUCA	512	629	8752	2580
CHEY	513	310	8750	7329
UGD	514	359	8744	6026
SERP0565	515	433	8736	4730
FLIP	516	745	8725	1978
HSDM	517	343	8708	6610
RPLW	518	337	8692	6750
BADE	519	402	8691	5144
YIAD	520	3395	8634	75
YCND	521	8686	8633	0
SSCG_06117	522	1788	8628	336
RLUB	523	628	8595	2583
LDHA	524	851	8590	1545
YBIT	525	180	8575	14020
ARGD	526	335	8571	6806
RPLV	527	232	8535	10770
CODY	528	367	8527	5930
SSAG_00936	529	1747	8520	356
COOC	530	321	8497	7143
RECQ	531	447	8488	4391
ALD	532	771	8481	1853
YABE	533	4985	8462	32
RPSJ	534	211	8445	11658
ILVD	535	229	8413	10887
SASH	536	2142	8409	222
PHET	537	417	8370	4961
ASNA	538	286	8349	7934
CLS_01740	539	478	8337	4046
FEOB	540	371	8271	5788
SPOT	541	727	8270	2040
POLC	542	305	8212	7433
TOPB	543	398	8177	5340
YLBB	544	1714	8157	375
SP_1548	545	458	8154	4200
NHAA	546	1406	8142	587
RLUC	547	1117	8123	902
PURH	548	251	8121	9779
COPA	549	1110	8088	908
RPMH	550	300	8073	7619
LEPB	551	722	8069	2058
ALAT	552	326	8049	6969
FLDC	553	884	8020	1430
JAG	554	516	8011	3672
NDK	555	1747	7969	356
YPFJ	556	1326	7946	658
UREF	557	2651	7944	133
ENGCP	558	2392	7919	172
SUN	559	825	7883	1643
ARGH	560	372	7861	5767
RFAG	561	495	7825	3891
NAPA	562	856	7818	1532
XERC	563	622	7801	2612
XYLA	564	285	7784	7980
UXAC	565	294	7739	7725
DEF	566	408	7717	5080
CLS	567	604	7691	2755
OPPD	568	363	7660	5974
RSGA	569	859	7648	1520
RPSQ	570	185	7639	13798
PHOH	570	437	7639	4635
YLQC	572	570	7636	3116
GNPA	573	255	7619	9505
TAL	574	284	7605	8084
RSFS	575	696	7560	2165
PARA3	576	1766	7533	348
TRKA	577	1223	7527	772
FABH	578	1261	7522	735
GALT	579	307	7502	7368
MURG	579	452	7502	4279
DNAG	581	575	7496	3043
MGTE	582	725	7458	2051
YICC	583	799	7437	1741
UREG	584	368	7392	5914
LEMA	585	837	7383	1586
CLIM_0161	586	2473	7352	158
RFBD	587	664	7347	2384
DGT	588	558	7326	3170
RSMH	589	499	7322	3858
COTJC	590	220	7304	11250
MRP	591	579	7303	3006
UPP	592	378	7260	5640
PP_1133	593	439	7240	4591
HISS	594	395	7237	5412
EXBD1	595	1424	7224	573
RPLX	596	407	7217	5081
LEUA	597	301	7216	7588
PRTA	598	2918	7194	106
FTSX	599	929	7181	1302
DAPL	600	374	7171	5719
RLUD	601	677	7156	2290
SECE	602	1682	7122	395
OMP	603	5585	7103	25
YCHF	604	327	7092	6968
LEUC	605	322	7079	7090
MREB	606	486	7042	3946
FLGC	607	735	7018	2008
NFSA	608	5072	7010	31
CHEW1	609	3192	6995	86
HRM2_36780	610	663	6993	2386
MALL	611	382	6987	5600
GUAD	612	1175	6977	827
METH	613	377	6975	5658
SMC00019	614	3452	6966	72
OCAR_4469	615	840	6957	1576
CYCMA_1561	615	1026	6957	1034
GRDE	617	238	6917	10579
PURM	618	324	6888	7015
LPP0716	619	1882	6867	301
FABG	620	419	6848	4947
PPIB	621	352	6837	6232
MURC	622	580	6834	2986
OPPF	623	358	6808	6029
UVRC	624	461	6801	4189
RECD	625	568	6795	3121
RECG	626	743	6793	1981
ARGK	627	583	6775	2968
WCAJ	628	572	6744	3060
SDHA	629	289	6719	7825
NE0134	630	8686	6715	0
ISPH	631	843	6700	1564
ARAD	632	309	6686	7355
METQ	633	576	6683	3031
GMD	634	325	6680	7004
NANH	635	445	6664	4411
SECG	636	791	6655	1780
PEPF	637	615	6644	2653
FBPA	638	594	6610	2856
PROA	639	609	6572	2720
PERR	640	1042	6570	1007
NRNA	641	1392	6553	594
RPSS	642	222	6542	11149
SCLAV_4941	643	675	6538	2299
APEB	644	1146	6492	865
XSA	645	413	6490	5010
PTB	646	547	6470	3324
CLCAR_0322	647	3424	6436	73
RPMB	648	397	6412	5345
CHEC	649	937	6406	1268
RNFB	650	530	6395	3468
YHCG	651	540	6362	3369
PARC	652	522	6316	3601
LPXA	653	1710	6311	376
CSTA	654	386	6298	5554
AVTA	655	654	6287	2430
FLHB	656	981	6280	1138
YGEW	657	245	6257	10081
RIMO	658	564	6250	3133
MUTS	659	416	6242	4995
OCAR_6641	660	5690	6239	24
NAMU_0682	661	345	6238	6586
CYAA	662	5309	6215	28
MRDB	663	1181	6202	824
PORB	664	652	6197	2437
DSY2934	665	1677	6182	397
RPOD	666	273	6173	8567
MT2802	667	1659	6136	408
PYRE	668	422	6132	4890
EDA	669	502	6112	3813
AMYA2	670	1196	6103	807
ISPG	671	528	6082	3528
YIHY	672	3096	6075	93
PBUG	673	600	6065	2782
TETP	674	364	6063	5972
LPRN	675	8686	6058	0
CHEX-4	676	4390	6043	42
LYSA	677	357	6015	6046
YAAT	678	507	6011	3778
RPLY	679	1260	5983	736
CTP	680	1254	5975	740
PHOR	681	1457	5972	547
ENGB	682	379	5970	5630
DAPB	683	690	5966	2186
GRDB	684	278	5950	8220
RECF	685	728	5941	2036
YHDR	686	738	5916	1997
PCT	687	926	5860	1311
HYMB	688	333	5849	6852
AMYB	689	994	5846	1109
RRGB	690	8686	5845	0
MPOP_0102	691	612	5834	2680
KTRB	692	1155	5819	855
GLF	693	376	5815	5703
PORG	694	844	5812	1563
LKTB3	695	1032	5808	1027
YGEY	696	277	5805	8294
MCSB	696	1388	5805	598
Y2489	698	485	5796	3955
FLIE	699	2660	5793	132
CLCA1	700	373	5782	5745
YRZL	701	389	5768	5477
SOJ	702	484	5760	3993
NUPG	703	1786	5737	337
RIBH	704	1406	5707	587
PPAC	705	782	5706	1819
ZUPT	706	3373	5689	76
ASP	707	785	5688	1805
TTHE_0913	708	1031	5683	1030
SEPF	709	546	5678	3334
VSAL_I1061	710	624	5672	2599
PLSX	711	517	5667	3662
CSRA	712	934	5631	1284
RLEG2_0509	713	679	5625	2271
BMRU	714	1128	5623	889
SMC	715	513	5622	3695
FTHC	716	3560	5587	67
SUSC	717	2497	5583	155
AST	718	590	5582	2896
UVRD	719	567	5581	3124
FLIR	720	2482	5578	157
MFD	721	505	5573	3796
YFIO	721	1329	5573	656
RPLI	723	894	5569	1412
BMUL_5818	724	953	5563	1227
RSMA	725	888	5552	1422
CLOLE_0841	726	1224	5548	771
LDTA	727	1060	5541	979
CYDA	728	578	5538	3015
ABRB	729	683	5528	2229
CCMA	730	754	5515	1952
ICD	731	314	5510	7259
FLIA	732	789	5494	1789
CAPD	733	460	5490	4192
MURF	734	1057	5467	982
YICI	735	548	5448	3312
OMPA2	736	8686	5426	0
RARA	737	428	5424	4802
FBP	738	494	5396	3904
AROB	739	804	5395	1724
TRXA_2	740	421	5390	4904
BAIA	740	821	5390	1652
YBBP	740	868	5390	1497
AMS1	743	505	5388	3796
GRAE	744	1994	5358	264
NANA	745	643	5348	2492
PILT	746	854	5315	1540
CADA	747	598	5314	2809
GPMA	748	672	5283	2316
BATC	749	4767	5281	35
LHK_00411	750	8686	5278	0
LTRA	751	829	5273	1632
PEPP	752	710	5270	2083
QUEA	753	553	5261	3245
DCP	754	1324	5259	659
BVU_1425	755	1159	5254	852
LSRB	756	740	5230	1993
HOM	757	574	5228	3046
MUTL	758	881	5224	1436
RPIB	759	666	5220	2351
PREMU_0213	760	1014	5202	1069
YITL	761	1758	5193	351
TERX	762	518	5187	3653
PLDB	763	1251	5132	743
PEPT	764	569	5128	3119
NTPK	765	492	5116	3914
FTN	766	1312	5110	676
DUT	767	702	5105	2135
MANC	768	904	5087	1373
RPMF	769	354	5086	6134
YCBL	770	8686	5068	0
P60	771	871	5067	1488
CLO_2305	772	336	5053	6782
RNFD	773	640	5051	2525
MSCL	774	1331	5030	653
MREC	775	1214	5001	784
UXUB	776	541	4994	3368
SACA	777	767	4988	1875
ARGJ	778	842	4985	1573
TCAB	779	8686	4978	0
COAD	780	989	4965	1126
LEUB	781	396	4963	5374
TOLA_1058	781	743	4963	1981
DNAC	783	1540	4954	488
YCJN	784	900	4946	1387
RESD	785	451	4942	4294
DET0670	786	720	4940	2060
YEGX	787	6950	4925	15
LGT	788	964	4913	1190
PARB	789	699	4905	2145
RADA	790	624	4894	2599
VAG	791	840	4891	1576
NTPF	792	835	4888	1596
MTAD	792	984	4888	1136
LDH	794	444	4882	4444
RADC	794	1903	4882	295
PPIA	796	1291	4881	699
PYRF	797	476	4878	4063
SPO0A	798	866	4877	1498
SP_0239	799	360	4870	6014
COAX	800	1050	4868	989
ILVN	801	753	4863	1957
RLMN	802	746	4839	1977
LIVJ	803	1313	4823	675
PPK	804	511	4817	3723
YQFA	805	774	4802	1846
SP_1681	806	542	4801	3358
THIE	807	2431	4798	165
CPN_0573	808	348	4771	6502
DRED_0181	809	820	4746	1655
REX	810	808	4740	1709
CDD	810	833	4740	1605
COPY	812	8686	4736	0
ILVA	813	470	4730	4120
YBER	813	2567	4730	144
THII	815	526	4712	3545
LYSC	816	656	4702	2426
XPNPEP1	817	796	4701	1752
BMPA	818	1019	4677	1049
YGIQ	819	500	4664	3854
BIRA	819	1477	4664	533
ARGC	821	605	4659	2743
CLCAR_0496	822	5585	4656	25
PBP1B	823	1667	4631	402
YCLM	824	515	4615	3687
HPRK	825	467	4589	4138
LACX	826	1196	4587	807
NTH	827	487	4581	3939
XSEA	828	811	4580	1707
AROC	829	619	4574	2628
DEOD	830	733	4565	2014
YAFV	831	4658	4560	37
PRDA	832	390	4557	5457
DEOB	833	440	4555	4566
RSEP	834	982	4542	1137
COABC	835	762	4539	1904
FOLC	836	1425	4522	572
WPRA	837	3509	4521	69
CZCD	838	1265	4515	730
PEAB	839	508	4507	3739
TNAA	840	385	4503	5573
OXLT	841	2772	4475	121
PARE	842	449	4470	4342
CLCAR_3340	842	6769	4470	16
YVYF	844	3351	4464	77
XYND	845	2388	4453	173
LMXE	846	8686	4441	0
FMT	847	839	4435	1580
PROTEASE	847	1566	4435	473
NUOD	849	1374	4430	612
WLAB	850	1339	4425	646
PPNK	851	1788	4410	336
MTRC	852	2780	4409	120
SP_0341	853	450	4399	4337
YPUA	853	1177	4399	826
DPP	855	2513	4345	152
TRKH	856	966	4343	1183
OGT	857	1263	4328	732
SPOU	858	1693	4321	390
VNCS	859	1471	4316	538
MUCPA_0453	860	632	4309	2557
UXUA	861	466	4308	4158
VSAL_I0456	862	1929	4292	287
MURD	863	806	4291	1711
AGAB	864	410	4289	5051
FCHA	865	780	4287	1825
MIAB	866	606	4285	2738
HIT	867	714	4283	2075
YGCG	868	7283	4281	13
HPRA	869	880	4275	1444
NUSB	870	1545	4241	484
SP_1796	871	631	4221	2559
PGCA	872	493	4220	3906
CHED	873	1360	4219	628
ACTP	874	701	4209	2142
ISPE	875	1749	4196	354
RIBBA	876	549	4193	3298
RECN	877	1191	4185	813
MNMA	878	667	4180	2350
UPPP	879	1020	4178	1042
AMIC	880	1129	4161	888
PDUO	881	998	4158	1099
SDAAA	882	957	4150	1203
RPMC	883	394	4140	5427
BMUL_2967	884	8686	4139	0
HOLB	885	1199	4138	805
AHCY	886	431	4135	4748
YGDL	887	1634	4121	421
YTVI	888	2717	4118	126
CSPA	889	353	4117	6226
PRDF	890	491	4115	3926
BGR_15850	891	1721	4106	370
ABU_0633	892	2243	4104	199
PDAA	893	836	4100	1591
PAP	894	490	4092	3928
XYLS	895	825	4087	1643
YDCP	896	3141	4076	90
NNRD	897	1463	4075	544
CSHA	898	562	4070	3140
ARGB	899	669	4066	2325
MIND	900	544	4064	3339
LPXB	901	2639	4048	134
BDLA	902	8686	4031	0
YGFH	903	1090	4013	934
MURB	904	848	4007	1554
ISPD	905	1768	4003	346
KDPD	906	1548	3991	483
ARLS	907	1059	3986	981
GK0308	908	8686	3971	0
MSC_0172	909	766	3958	1882
DPPB	910	1064	3947	969
RETA	911	595	3940	2837
FRNE	912	1389	3934	596
THIC	913	573	3924	3051
APT	914	685	3916	2221
CINA	914	1000	3916	1093
RPME2	916	634	3901	2544
CYDB	917	971	3891	1172
IDNO	918	414	3879	5005
ISCU	919	438	3878	4623
RNFE	920	611	3873	2704
PAAK	921	497	3872	3861
RES	922	1103	3871	912
UNG	923	434	3860	4696
AMT	924	613	3859	2668
KRAC_9290	925	8686	3858	0
MDSC	926	715	3840	2074
XDHA	927	431	3839	4748
GSPF	928	3787	3820	58
YEGQ	929	591	3813	2880
GLNH	930	1555	3804	478
YFMR	931	1097	3802	922
